"Name","DisplayName","Alias","PrimarySmtpAddress"
"Incident Alert","Incident Alert","IncidentAlert","IncidentAlert@accruent.com"
"[ENG] POD | Siterra SG1","[ENG] POD | Siterra SG1","ENG_PODSiterraSG1","ENG_PODSiterraSG1@Accruent.com"
"[PS] Mainspring PS Team","[PS] Mainspring PS Team","MainspringPSTeam","MainspringPSTeam@Accruent.com"
"[ITO] Infrastructure","[ITO] Infrastructure","Infrastructure","Infrastructure@Accruent.com"
"[SUP] Support and Services","[SUP] Support and Services","SupportandService","SupportandService@Accruent.com"
"[ALL] Ring the Bell Emailers","[ALL] Ring the Bell Emailers","RingtheBellEmailers","RingtheBellEmailers@Accruent.com"
"[IT] Postmaster Alerts","[IT] Postmaster Alerts","PostmasterAlerts","PostmasterAlerts@accruent.com"
"[ITO] Service Desk","[ITO] Service Desk","ServiceDesk","servicedesk@accruent.com"
"[ePMO] ePMO","[ePMO] ePMO","epmo","epmo@accruent.com"
"Hoopla Admins","Hoopla Admins","hooplaadmins","hooplaadmins@accruent.com"
"POD | Siterra SG2","POD | Siterra SG2","POD_Siterra_SG2","POD_Siterra_SG2@Accruent.com"
"[ENG] DW Load Monitor","[ENG] DW Load Monitor","DWLoadMonitor","DWLoadMonitor@Accruent.com"
"[ENG] Streams Monitor","[ENG] Streams Monitor","StreamsMonitor","StreamsMonitor@Accruent.com"
"[PS] Healthcare Consultants","[PS] Healthcare Consultants","HealthcareConsultants","HealthcareConsultants@Accruent.com"
"DevOps Team","[ITO] Devops","devops","devops@Accruent.com"
"[ITO] IT Ops Leadership","[ITO] IT Ops Leadership","ITOpsLeadership","ITOpsLeadership@Accruent.com"
"[ENG] Technology Leadership","[ENG] Technology Leadership","TechnologyLeadership","TechnologyLeadership@Accruent.com"
"[ALL] BIGCenter","[ALL] BIGCenter","all_BIGCenter","all_BIGCenter@accruentatlas.onmicrosoft.com"
"[ALL] BIGCenter Contractors","[ALL] BIGCenter Contractors","all_BIGCenterContractors","all_BIGCenterContractors@accruentatlas.onmicrosoft.com"
"[ALL] Verisae","[ALL] Verisae","all_Verisae","all_Verisae@accruentatlas.onmicrosoft.com"
"[ALL] Verisae FTE","[ALL] Verisae FTE","all_VerisaeFTE","all_VerisaeFTE@accruentatlas.onmicrosoft.com"
"[ALL] BIGCenter FTE","[ALL] BIGCenter FTE","all_BIGCenterFTE","all_BIGCenterFTE@accruentatlas.onmicrosoft.com"
"[TCM] SiterraTechnicalATCTeam","[TCM] SiterraTechnicalATCTeam","SiterraTechnicalATCTeam","SiterraTechnicalATCTeam@Accruent.com"
"[ITO] Siterra-Alert","[ITO] Siterra-Alert","Siterra-Alerts","Siterra-Alerts@Accruent.com"
"[ITO] Siterra-Information","[ITO] Siterra-Information","Siterra-Information","Siterra-Information@Accruent.com"
"[ENG] MicroStrategy-Developers","[ENG] MicroStrategy-Developers","Microstrategydev","Microstrategydev@Accruent.com"
"[ITO] VFA FV Deployment","[ITO] VFA FV Deployment","vfa-fv-deployment","vfa-fv-deployment@Accruent.com"
"[ALL] Technology Org","[ALL] Technology Org","TechnologyOrg","TechnologyOrg@Accruent.com"
"Austin Domain Pacific Conference Rooms","Austin Domain Pacific Conference Rooms","AusDomPacConfRmList","AusDomPacConfRmList@Accruent.com"
"Austin Domain Mountain Conference Rooms","Austin Domain Mountain Conference Rooms","AusDomMouConfRmList","AusDomMouConfRmList@Accruent.com"
"Austin Domain Central Conference Rooms","Austin Domain Central Conference Rooms","AusDomCenConfRmList","AusDomCenConfRmList@Accruent.com"
"Austin Domain All Conference Rooms","Austin Domain Conference Rooms","AusDomConfRmList","AusDomConfRmList@Accruent.com"
"Austin Domain East Conference Rooms","Austin Domain East Conference Rooms","AusDomEastConfRmList","AusDomEastConfRmList@Accruent.com"
"TimMcLean","TimMcLean","tmclean","tmclean@Accruent.com"
"[ITO] Accruent JLL Team","[ITO] Accruent JLL Team","AccruentJLLTeam","AccruentJLLTeam@Accruent.com"
"SPS","SPS","SPS","SPS@Accruent.com"
"[ENG] Scrum Master","[ENG] Scrum Master","scrum_master","scrum_master@Accruent.com"
"4Rivers DBA OnCall","4Rivers DBA OnCall","4RiversDBAOnCall","4RiversDBAOnCall@Accruent.com"
"AoD DBA OnCall","AoD DBA OnCall","aoddbaoncall","aoddbaoncall2@Accruent.com"
"Big Hosting OnCall","Big Hosting OnCall","bighostingoncall","bighostingoncall@Accruent.com"
"vx Hosting OnCall","vx Hosting OnCall","vxHostingOnCall","vxHostingOnCall@Accruent.com"
"vx DBA OnCall","vx DBA OnCall","vxDBAOnCall","vxDBAOnCall@Accruent.com"
"Siterra DBA OnCall","Siterra DBA OnCall","SiterraDBAOnCall","SiterraDBAOnCall@Accruent.com"
"VFA DBA OnCall","VFA DBA OnCall","VFADBAOnCall","VFADBAOnCall@Accruent.com"
"FoD DBA OnCall","FoD DBA OnCall","FoDDBAOnCall","FoDDBAOnCall@Accruent.com"
"Mainspring DBA OnCall","Mainspring DBA OnCall","MainspringDBAOnCall","MainspringDBAOnCall@Accruent.com"
"SiteFM DBA OnCall","SiteFM DBA OnCall","SiteFMDBAOnCall","SiteFMDBAOnCall@Accruent.com"
"Evoco DBA OnCall","Evoco DBA OnCall","EvocoDBAOnCall","EvocoDBAOnCall@Accruent.com"
"[ITO] BIG DBA On Call","BIG DBA OnCall","BIGDBAOnCall","BIGDBAOnCall@Accruent.com"
"360Facility DBA OnCall","360Facility DBA OnCall","360FacilityDBAOnCall","360FacilityDBAOnCall@Accruent.com"
"Expesite DBA OnCall","Expesite DBA OnCall","ExpesiteDBAOnCall","ExpesiteDBAOnCall@Accruent.com"
"[HOS] Mainspring Hosting On Call","[HOS] Mainspring Hosting On Call","mainspringhostingoncall","mainspringhostingoncall@Accruent.com"
"[HOS] Mainspring Hosting","[HOS] Mainspring Hosting","mainspringhosting","mainspringhosting@Accruent.com"
"AMNotification","AMNotification","amnotification","amnotification@Accruent.com"
"[HOS] Verisae Hosting Team","[HOS] Verisae Hosting Team","verisaehostingteam","verisaehostingteam@Accruent.com"
"[SUP] BIG Support Team","[SUP] BIG Support Team","BIGSupportTeam","BIGSupportTeam@Accruent.com"
"[SUP] Verisae Support Team","[SUP] Verisae Support Team","VerisaeSupportTeam","VerisaeSupportTeam@Accruent.com"
"[SUP] Vx Field Support Team","[SUP] Vx Field Support Team","VxFieldSupportTeam","VxFieldSupportTeam@Accruent.com"
"[ITO] Term Team","[ITO] Term Team","ittermteam","ittermteam@Accruent.com"
"[QA] Mixpanel Admin","[QA] Mixpanel Admin","MixpanelAdmin","MixpanelAdmin@Accruent.com"
"[ENG] 360Facility Release Mgmt","[ENG] 360Facility Release Mgmt","360FacilityRealeaseMgmt","360FacilityRealeaseMgmt@Accruent.com"
"[SUP] French VFA Support","[SUP] French VFA Support","frenchvfasupport","frenchvfasupport@Accruent.com"
"[IT] VFA Support","[IT] VFA Support","itvfasupport","itvfasupport@accruent.com"
"[QA] BigCenter QA Team","[QA] BigCenter QA Team","bigcenterqateam","bigcenterqateam@Accruent.com"
"[ENG] VFA-Deployment","[ENG] VFA-Deployment","vfa-deployment","vfa-deployment@Accruent.com"
"[SUP] Mainspring Severity","[SUP] Mainspring Severity","mainspringseverity","mainspringseverity@Accruent.com"
"[ENG] Siterra DevOps Team","[ENG] Siterra DevOps Team","siterradevopsteam","siterradevopsteam@Accruent.com"
"Accruent Music Alliance","Accruent Music Alliance","accruentmusicalliance","accruentmusicalliance@Accruent.com"
"Forward - Shane Allumbaugh","Forward - Shane Allumbaugh","fwdsallumbaugh","fwdsallumbaugh@accruent.com"
"[SUP] BIGCenter Severity","[SUP] BIGCenter Severity","BIGCenterSeverity","BIGCenterSeverity@Accruent.com"
"[ITO] BIGCenter Hosting","[ITO] BIGCenter Hosting","BIGCenterHosting","BIGCenterHosting@Accruent.com"
"[SLS] Retail Sales Team","[SLS] Retail Sales Team","RetailSalesTeam","RetailSalesTeam@Accruent.com"
"artwalk","artwalk","artwalk","artwalk@Accruent.com"
"[TCM] Siterra Special Release Request","[TCM] Siterra Special Release Request","SiterraSpecialReleaseRequest","SiterraSpecialReleaseRequest@Accruent.com"
"[ENG] Siterra Merge Masters","[ENG] Siterra Merge Masters","SiterraMergeMasters","SiterraMergeMasters@Accruent.com"
"[SUP] Sr. Verisae Support Team","[SUP] Sr. Verisae Support Team","SrVerisaeSupportTeam","SrVerisaeSupporTeam@accruent.com"
"[ENG] VX Field Engineering","[ENG] VX Field Engineering","vxfieldengineering","vxfieldengineering@Accruent.com"
"ATLAS Admin","ATLAS Admin","AtlasAdmin","AtlasAdmin@Accruent.com"
"360 Tech Review","360 Tech Review","360TechReview","360TechReview@accruentatlas.onmicrosoft.com"
"[VER] DevelopmentWOA","[VER] DevelopmentWOA","_VER_DevelopmentWOA","ver_DevelopmentWOA@accruent.com"
"[VER] SSRSReports","[VER] SSRSReports","_VER_SSRSReports","ver_ssrs-reports@accruent.com"
"[VER] Feedback","[VER] Feedback","_VER_Feedback","ver_feedback@accruent.com"
"[VER] Verisae Systems Admins","[VER] Verisae Systems Admins","_VER_VerisaeSystemsAdmins","ver_veriadmin@accruent.com"
"[VER] Product Marketing","[VER] Product Marketing","_VER_ProductMarketing","ver_productmarketing@accruent.com"
"[VER] JLPQueryStudio","[VER] JLPQueryStudio","_VER_JLPQueryStudio","ver_JLPQueryStudio@accruent.com"
"[VER] Partners","[VER] Partners","_VER_Partners","ver_partners@accruent.com"
"[VER] NOBSsyncerrors","[VER] NOBSsyncerrors","_VER_NOBSsyncerrors","ver_nobs_sync_errors@accruent.com"
"[VER] ChristyEmail","[VER] ChristyEmail","_VER_ChristyEmail","ver_ChristyEmail@accruent.com"
"[VER] Contact","[VER] Contact","_VER_Contact","ver_contact@accruent.com"
"[VER] WorkOasis","[VER] WorkOasis","_VER_WorkOasis","ver_WorkOasis@accruent.com"
"[VER] Verisae_Translators","[VER] Verisae_Translators","_VER_Verisae_Translators","ver_verisaetranslators@accruent.com"
"[VER] Verisae Technical Support","[VER] Verisae Technical Support","_VER_VerisaeTechnicalSupport","ver_support@accruent.com"
"[VER] Verisae Remote","[VER] Verisae Remote","_VER_VerisaeRemote","ver_verisae_remote@accruent.com"
"[VER] LM_INFRA","[VER] LM_INFRA","_VER_LM_INFRA","ver_lm_infra@accruent.com"
"[VER] Verisae Minneapolis","[VER] Verisae Minneapolis","_VER_VerisaeMinneapolis","ver_verisaempls@accruent.com"
"[VER] Verisae Engineering Minneapolis","[VER] Verisae Engineering Minneapolis","_VER_VerisaeEngineeringMinneapolis","ver_verisaeengineeringmsp@accruent.com"
"[VER] QueryStudio","[VER] QueryStudio","_VER_QueryStudio","ver_QueryStudio@accruent.com"
"[VER] Marketing group","[VER] Marketing group","_VER_Marketinggroup","ver_marketing@accruent.com"
"[VER] Verisae UK","[VER] Verisae UK","_VER_VerisaeUK","ver_VerisaeUK@accruent.com"
"[VER] Customer Support Agents","[VER] Customer Support Agents","_VER_CustomerSupportAgents","ver_csagents@accruent.com"
"[VER] ViryanetRemote","[VER] ViryanetRemote","_VER_ViryanetRemote","ver_VNRemote@accruent.com"
"[VER] LM_NOC","[VER] LM_NOC","_VER_LM_NOC","ver_lm_noc@accruent.com"
"[VER] supportq","[VER] supportq","_VER_supportq","ver_supportq@accruent.com"
"[VER] SSRSReportRecip","[VER] SSRSReportRecip","_VER_SSRSReportRecip","ver_SSRSReportRecipients@accruent.com"
"[VER] Fulfillment","[VER] Fulfillment","_VER_Fulfillment","ver_fulfillment@accruent.com"
"[VER] ViryanetCore","[VER] ViryanetCore","_VER_ViryanetCore","ver_ViryanetCore@accruent.com"
"[VER] Sales group","[VER] Sales group","_VER_Salesgroup","ver_sales@accruent.com"
"[VER] Verisae All","[VER] Verisae All","_VER_VerisaeAll","ver_verisae@accruent.com"
"[VER] CodePush","[VER] CodePush","_VER_CodePush","ver_CodePush@accruent.com"
"[VER] SainsburyQueryS","[VER] SainsburyQueryS","_VER_SainsburyQueryS","ver_SBESAgent@accruent.com"
"[VER] BIL2Reporting","[VER] BIL2Reporting","_VER_BIL2Reporting","ver_BIL2Reporting@accruent.com"
"[VER] ExecutiveTeam","[VER] ExecutiveTeam","_VER_ExecutiveTeam","ver_executiveteam@accruent.com"
"[VER] ViryanetWorkup","[VER] ViryanetWorkup","_VER_ViryanetWorkup","ver_Workup@accruent.com"
"[VER] vxFieldServices","[VER] vxFieldServices","_VER_vxFieldServices","ver_vxFieldServices@accruent.com"
"[VER] ViryanetSupport","[VER] ViryanetSupport","_VER_ViryanetSupport","ver_support@viryanet.com"
"[VER] Verisae Asia","[VER] Verisae Asia","_VER_VerisaeAsia","ver_VerisaeAsia@accruent.com"
"[VER] ViryanetPSIL","[VER] ViryanetPSIL","_VER_ViryanetPSIL","ver_VNPS-IL@accruent.com"
"[VER] BIL1Support","[VER] BIL1Support","_VER_BIL1Support","ver_BIL1support@accruent.com"
"[VER] vx Field Outage Request","[VER] vx Field Outage Request","_VER_vxFieldOutageRequest","ver_vxfieldoutagerequest@accruent.com"
"[VER] ViryanetPSManag","[VER] ViryanetPSManag","_VER_ViryanetPSManag","ver_VNPS-Mgmt@accruent.com"
"[VER] Reports","[VER] Reports","_VER_Reports","ver_reports@accruent.com"
"[VER] vxField Internal","[VER] vxField Internal","_VER_vxFieldInternal","ver_vxfieldinternal@accruent.com"
"[VER] NG Bailey Energy","[VER] NG Bailey Energy","_VER_NGBaileyEnergy","ver_ngbenergy@accruent.com"
"[VER] ViryanetAll","[VER] ViryanetAll","_VER_ViryanetAll","ver_viryanetall@accruent.com"
"[VER] Minneapoliscont","[VER] Minneapoliscont","_VER_Minneapoliscont","ver_mplscontractors@accruent.com"
"[VER] DAB","[VER] DAB","_VER_DAB","ver_dab@accruent.com"
"[VER] Verisae BI","[VER] Verisae BI","_VER_VerisaeBI","ver_VerisaeBI@accruent.com"
"[VER] ViryaNetSupport1","[VER] ViryaNetSupport1","_VER_ViryaNetSupport1","ver_eu-support@accruent.com"
"[VER] ViryanetFaxJeru","[VER] ViryanetFaxJeru","_VER_ViryanetFaxJeru","ver_VNFAXIL@accruent.com"
"[VER] NonUSNotificati","[VER] NonUSNotificati","_VER_NonUSNotificati","ver_NonUSNotifications@accruent.com"
"[VER] AlbertsonsEfax","[VER] AlbertsonsEfax","_VER_AlbertsonsEfax","ver_ALBefax@accruent.com"
"[VER] OWBRPT","[VER] OWBRPT","_VER_OWBRPT","ver_owb_rpt@accruent.com"
"[VER] WebexAdmin","[VER] WebexAdmin","_VER_WebexAdmin","ver_webexadmin@accruent.com"
"[VER] Verisae Release Notes","[VER] Verisae Release Notes","_VER_VerisaeReleaseNotes","ver_releasenotes@accruent.com"
"[VER] marketing","[VER] marketing","_VER_marketing","ver_marketing@hara.com"
"[VER] SVNAdmin","[VER] SVNAdmin","_VER_SVNAdmin","ver_svn_admin@accruent.com"
"[VER] SSL Managed Service","[VER] SSL Managed Service","_VER_SSLManagedService","ver_sslmanagedservice@accruent.com"
"[VER] Contracts","[VER] Contracts","_VER_Contracts","ver_contracts@accruent.com"
"[VER] webmaster","[VER] webmaster","_VER_webmaster","ver_webmaster@accruent.com"
"[VER] dba-notify","[VER] dba-notify","_VER_dba-notify","ver_dba-notify@accruent.com"
"[VER] Amazon Development","[VER] Amazon Development","_VER_AmazonDevelopment","ver_aws_dev@accruent.com"
"[VER] Energy","[VER] Energy","_VER_Energy","ver_energy@accruent.com"
"[VER] viryOps","[VER] viryOps","_VER_viryOps","ver_viryOps@accruent.com"
"[VER] Verisae_QA","[VER] Verisae_QA","_VER_Verisae_QA","ver_verisae_qa@accruent.com"
"[VER] Deploy EAM","[VER] Deploy EAM","_VER_DeployEAM","ver_deploy_eam@accruent.com"
"[VER] BIProductionSup","[VER] BIProductionSup","_VER_BIProductionSup","ver_BIProductionSupport@accruent.com"
"[VER] GridControl","[VER] GridControl","_VER_GridControl","ver_gridcontrol@accruent.com"
"[VER] USNotifications","[VER] USNotifications","_VER_USNotifications","ver_USNotifications@accruent.com"
"[VER] EAMDev","[VER] EAMDev","_VER_EAMDev","ver_prddevsupport@accruent.com"
"[VER] DevelopmentHara","[VER] DevelopmentHara","_VER_DevelopmentHara","ver_developmentharacybage@accruent.com"
"[VER] Field All","[VER] Field All","_VER_FieldAll","ver_fieldall@accruent.com"
"[VER] ProductionAlert","[VER] ProductionAlert","_VER_ProductionAlert","ver_prod_alert@accruent.com"
"[VER] hostmaster","[VER] hostmaster","_VER_hostmaster","ver_hostmastser@accruent.com"
"[VER] ViryanetSpencer","[VER] ViryanetSpencer","_VER_ViryanetSpencer","ver_SpencerSupport@accruent.com"
"[VER] vxField Monitoring","[VER] vxField Monitoring","_VER_vxFieldMonitoring","ver_vxFieldMonitoring@accruent.com"
"[VER] EEformsubmit","[VER] EEformsubmit","_VER_EEformsubmit","ver_eeformsubmit@accruent.com"
"[VER] Hara","[VER] Hara","_VER_Hara","ver_Hara@accruent.com"
"[VER] ViryanetManagem","[VER] ViryanetManagem","_VER_ViryanetManagem","ver_VNManagement@accruent.com"
"[VER] Verisae Cognos","[VER] Verisae Cognos","_VER_VerisaeCognos","ver_cognos@accruent.com"
"[VER] SolutionEnginee","[VER] SolutionEnginee","_VER_SolutionEnginee","ver_solutionengineering@accruent.com"
"[VER] ProfessionalSer","[VER] ProfessionalSer","_VER_ProfessionalSer","ver_profservices@accruent.com"
"[VER] Enterprise Reports","[VER] Enterprise Reports","_VER_EnterpriseReports","ver_enterprise-reports@accruent.com"
"[VER] DevelopmentEAM","[VER] DevelopmentEAM","_VER_DevelopmentEAM","ver_developmentEAM@accruent.com"
"[VER] Salesinfo","[VER] Salesinfo","_VER_Salesinfo","ver_salesinfo@accruent.com"
"[VER] MinneapolisAll","[VER] MinneapolisAll","_VER_MinneapolisAll","ver_MinneapolisAll@accruent.com"
"[VER] IT","[VER] IT","_VER_IT","ver_IT@accruent.com"
"[VER] VX_Exceptions","[VER] VX_Exceptions","_VER_VX_Exceptions","ver_VX_Exceptions@accruent.com"
"[VER] Products","[VER] Products","_VER_Products","ver_products@accruent.com"
"[VER] Onboard","[VER] Onboard","_VER_Onboard","ver_onboard@accruent.com"
"[VER] particle_dev","[VER] particle_dev","_VER_particle_dev","ver_particle_dev@accruent.com"
"[VER] AccountManageme","[VER] AccountManageme","_VER_AccountManageme","ver_AccountManagement@accruent.com"
"[VER] MobileBeta","[VER] MobileBeta","_VER_MobileBeta","ver_MobileBeta@accruent.com"
"[VER] FieldServices","[VER] FieldServices","_VER_FieldServices","ver_fieldservices@accruent.com"
"[VER] ProductManageme","[VER] ProductManageme","_VER_ProductManageme","ver_Product-Management@accruent.com"
"[VER] ViryanetTampa","[VER] ViryanetTampa","_VER_ViryanetTampa","ver_VNTampa@accruent.com"
"[VER] vx Maintain Pod","[VER] vx Maintain Pod","_VER_vxMaintainPod","ver_vxmaintainpod@accruent.com"
"[VER] SurveyFaxes","[VER] SurveyFaxes","_VER_SurveyFaxes","ver_BashasSurveyFaxes@accruent.com"
"[VER] Verisae Consulting","[VER] Verisae Consulting","_VER_VerisaeConsulting","ver_consulting@accruent.com"
"[VER] Survey Support","[VER] Survey Support","_VER_SurveySupport","ver_surveysupport@accruent.com"
"[VER] Survey group","[VER] Survey group","_VER_Surveygroup","ver_survey@accruent.com"
"[VER] ViryanetWestbor","[VER] ViryanetWestbor","_VER_ViryanetWestbor","ver_vnWestborough@accruent.com"
"[VER] SalesStrategy","[VER] SalesStrategy","_VER_SalesStrategy","ver_sales-strategy@accruent.com"
"[VER] Verisae Europe","[VER] Verisae Europe","_VER_VerisaeEurope","ver_verisaeeurope@accruent.com"
"[VER] LM_SYSOPS","[VER] LM_SYSOPS","_VER_LM_SYSOPS","ver_lm_sysops@accruent.com"
"[VER] ViryanetIsrael","[VER] ViryanetIsrael","_VER_ViryanetIsrael","ver_VNIL@accruent.com"
"[VER] OperationsTeam","[VER] OperationsTeam","_VER_OperationsTeam","ver_ops@accruent.com"
"[VER] SoftwareSupport","[VER] SoftwareSupport","_VER_SoftwareSupport","ver_softwaresupport@accruent.com"
"[VER] ViryanetPSUSA","[VER] ViryanetPSUSA","_VER_ViryanetPSUSA","ver_VNPS-NA@accruent.com"
"[VER] SainsburysProje","[VER] SainsburysProje","_VER_SainsburysProje","ver_sainsburysteam@accruent.com"
"[VER] ViryaNetFrontie","[VER] ViryaNetFrontie","_VER_ViryaNetFrontie","ver_FrontierTeam@accruent.com"
"[VER] vx Observe Pod","[VER] vx Observe Pod","_VER_vxObservePod","ver_vxobservepod@accruent.com"
"[VER] Eam Problem Queries","[VER] Eam Problem Queries","_VER_EamProblemQueries","ver_eam_problem_queries@accruent.com"
"[VER] RWE - Phaseware","[VER] RWE ? Phaseware","_VER_RWEPhaseware","ver_rwe@accruent.com"
"[VER] ViryanetResearc","[VER] ViryanetResearc","_VER_ViryanetResearc","ver_VNRD@accruent.com"
"[VER] SalesMarketing","[VER] SalesMarketing","_VER_SalesMarketing","ver_sales-marketing@accruent.com"
"[VER] vxField QA","[VER] vxField QA","_VER_vxFieldQA","ver_vxfieldqa@accruent.com"
"[VER] BIL2ETL","[VER] BIL2ETL","_VER_BIL2ETL","ver_BIL2ETL@accruent.com"
"[VER] Verisae JIRA","[VER] Verisae JIRA","_VER_VerisaeJIRA","ver_jirateam@accruent.com"
"[VER] Oracle Job Alerts","[Ver] Oracle Job Alerts","_VER_OracleJobAlerts","ver_oracle_job_alerts@accruent.com"
"[ITO] BIGCenter Hosting OnCall","[ITO] BIGCenter Hosting OnCall","BIGCenterhostingoncall","BIGCenterhostingoncall@Accruent.com"
"[ITO] Verisae Hosting","[ITO] Verisae Hosting","Verisaehosting","Verisaehosting@Accruent.com"
"[ITO] Verisae Hosting OnCall","[ITO] Verisae Hosting OnCall","Verisaehostingoncall","Verisaehostingoncall@Accruent.com"
"[SLS] ACP Sales","[SLS] ACP Sales","ACPSales","ACPSales@accruent.com"
"[ITO] Monitoring","[ITO] Monitoring","monitoring","monitoring@Accruent.com"
"[IT] Infrastructure on Call","[IT] Infrastructure on Call","InfrastructureonCall","InfrastructureOnCall@accruent.com"
"[IT] Network on Call","[IT] Network on Call","NetworkOnCall","NetworkOnCall@accruent.com"
"[VM] James Robb","[VM] James Robb","robbvm","robbvm@Accruent.com"
"[VM] Jim Mulkey","[VM] Jim Mulkey","mulkeyvm","mulkeyvm@Accruent.com"
"[VM] Fahd Pirzada","[VM] Fahd Pirzada","pirzadavm","pirzadavm@Accruent.com"
"[VM] Kirk Orgeldinger","[VM] Kirk Orgeldinger","orgeldingervm","orgeldingervm@Accruent.com"
"[VM] Kevin Reichle","[VM] Kevin Reichle","reichlevm","reichlevm@Accruent.com"
"AE Support Alerts","AE Support Alerts","AESupportAlerts","AESupportAlerts@accruent.com"
"[ENG] LA Engineering","[ENG] LA Engineering","laengineering","laengineering@Accruent.com"
"[CS] Siterra Account Management","[CS] Siterra Account Management","siterraaccountmanagement","siterraaccountmanagement@Accruent.com"
"[HOS] Healthcare Deployments","[HOS] Healthcare Deployments","HealthcareDeployments","HealthcareDeployments@Accruent.com"
"[ACT] Bankruptcy Group","[ACT] Bankruptcy Group","BankruptcyGroup","BankruptcyGroup@Accruent.com"
"[ENG] MainspringSunrisers","[ENG] MainspringSunrisers","MainspringSunrisers","MainspringSunrisers@Accruent.com"
"MuleAdmin","Mule Admin","MuleAdmin","muleadmin@accruent.com"
"[ENG] Mule Developer","[ENG] Mule Developer","mule_developer","mule_developer@Accruent.com"
"[ENG] Mule Architect","[ENG] Mule Architect","mule_architect","mule_architect@Accruent.com"
"[ENG] Mule DevOps","[ENG] Mule DevOps","mule_devops","mule_devops@Accruent.com"
"[ALL] Vancouver Contractors","[ALL] Vancouver Contractors","allvancontractors","allvancontractors@Accruent.com"
"[ALL] Vancouver","[ALL] Vancouver","allvancouver","allvancouver@Accruent.com"
"Sales Ops","Sales Ops","salesopsdl","salesopsdl@Accruent.com"
"Mentoring DL","Mentoring DL","mentoringdl","mentoringdl@Accruent.com"
"[ACT] Accounting Team","[ACT] Accounting Team","ACTAccountingTeam","ACTAccountingTeam@Accruent.com"
"Education All Hands","Education All Hands","EducationAllHands","EducationAllHands@Accruent.com"
"[ENG] CPP Bi Reporting Team","[ENG] CPP Bi Reporting Team","CPPBiReportingTeam","CPPBiReportingTeam@Accruent.com"
"[GAP] vxMaintainPod","[GAP] vxMaintainPod","gap_vxmaintainpod","gap_vxmaintainpod@accruent.com"
"[ENG] SEIT","[ENG] SEIT","SEIT","SEIT@Accruent.com"
"[GA] House Holden","[GA] House Holden","HouseHolden","HouseHolden@Accruent.com"
"[ALL] Lucernex","[ALL] Lucernex","all_Lucernex","all_lucernex@Accruent.com"
"[ALL] Lucernex FTE","[ALL] Lucernex FTE","all_LucernexFTE","all_LucernexFTE@Accruent.com"
"[ALL] Lucernex Contractors","[ALL] Lucernex Contractors","all_LucernexContractors","all_LucernexContractors@Accruent.com"
"[ITO] WIN-SQL Database Ops Team","[ITO] WIN-SQL Database Ops Team","WINSQLDatabaseOps","WINSQLDatabaseOps@Accruent.com"
"[ITO] LIN-ACLE Hosting Team","[ITO] LIN-ACLE Hosting Team","LINACLEHostingTeam","LINACLEHostingTeam@Accruent.com"
"[ITO] LIN-ACLE Database Ops Team","[ITO] LIN-ACLE Database Ops Team","LINACLEDatabaseOps","LINACLEDatabaseOps@Accruent.com"
"[ITO] WIN-ACLE Hosting Team","[ITO] WIN-ACLE Hosting Team","WINACLEHostingTeam","WINACLEHostingTeam@Accruent.com"
"[ITO] LIN-ACLE System Ops Team","[ITO] LIN-ACLE System Ops Team","LINACLESystemOps","LINACLESystemOps@Accruent.com"
"[ITO] WIN-SQL System Ops Team","[ITO] WIN-SQL System Ops Team","WINSQLSystemOps","WINSQLSystemOps@Accruent.com"
"[ITO] WIN-ACLE Database Ops Team","[ITO] WIN-ACLE Database Ops Team","WINACLEDatabaseOps","WINACLEDatabaseOps@Accruent.com"
"[ITO] WIN-ACLE System Ops Team","[ITO] WIN-ACLE System Ops Team","WINACLESystemOps","WINACLESystemOps@Accruent.com"
"[ITO] WIN-SQL Hosting Team","[ITO] WIN-SQL Hosting Team","WINSQLHostingTeam","WINSQLHostingTeam@Accruent.com"
"[ITO] Network","[ITO] Network","_ITO_Network","_ITO_Network@Accruent.com"
"[ITO] Cloud Operations","[ITO] Cloud Operations","_ITO_CloudOperations","_ITO_CloudOperations@Accruent.com"
"[ITO] Technology Operations","[ITO] Technology Operations","_ITO_TechnologyOperations","_ITO_TechnologyOperations@Accruent.com"
"[ITO] Security","[ITO] Security","Security1","Security@accruent.com"
"[ITO] Projects","[ITO] Projects","_ITO_Projects","_ITO_Projects@Accruent.com"
"Education Sales Team","Education Sales Team","educationsalesteam","EducationSalesTeam@accruent.com"
"FAMIS Classic","FAMIS Classic","famisclassic","famisclassic@accruent.com"
"[ITO] Evoco System Ops Team","[ITO] Evoco System Ops Team","EvocoSystemOpsTeam","EvocoSystemOps@Accruent.com"
"[ITO] Accruent System Ops Team","[ITO] Accruent System Ops Team","AccruentSystemOpsTeam","AccruentSystemOps@Accruent.com"
"[ITO] 360Facility Database Ops Team","[ITO] 360Facility Database Ops Team","360FaciliyDatabaseOpsTeam","360FacilityDatabaseOps@Accruent.com"
"[ITO] Accruent Database Ops Team","[ITO] Accruent Database Ops Team","AccruentDatabaseOpsTeam","AccruentDatabaseOps@Accruent.com"
"[ITO] 360Facility System Ops Team","[ITO] 360Facility System Ops Team","360FacilitySystemOpsTeam","360FacilitySystemOps@Accruent.com"
"[ITO] SiteFM 4x System Ops Team","[ITO] SiteFM 4x System Ops Team","SiteFM4xSystemOpsTeam","SiteFM4xSystemOps@Accruent.com"
